CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
cg26923863,0.0232,0.6468,0.9132,0.1107,0.8863,0.0281,0.5918,0.9377,0.9433,0.9761,0.8903,0.981625,0.9757,0.9828,0.8241,0.9814,0.9373,0.9035,0.9188,0.8931,0.9454,0.9448,0.9543,0.891,0.929
cg26305504,0.1064,0.3271,0.896,0.9368,0.9213,0.3336,0.7151,0.8808,0.8428,0.9602,0.8451,0.959175,0.9662,0.9692,0.7924,0.9788,0.9116,0.8877,0.8556,0.8479,0.9099,0.9312,0.884,0.8646,0.9093
cg12555086,0.0733,0.7028,0.8862,0.8559,0.9004,0.6177,0.8729,0.7251,0.8065,0.9068,0.8569,0.88045,0.8874,0.8837,0.8591,0.8943,0.8634,0.8696,0.7578,0.7847,0.8696,0.8868,0.8905,0.8449,0.88
cg05445326,0.2343,0.8745,0.8961,0.7161,0.8644,0.8626,0.9454,0.8736,0.9104,0.9021,0.8679,0.888425,0.9102,0.9237,0.8402,0.8859,0.9193,0.7835,0.8936,0.5621,0.8866,0.9056,0.9203,0.8959,0.9144
cg07918933,0.1348,0.8887,0.8743,0.8181,0.8832,0.5711,0.7974,0.867,0.859,0.8043,0.8515,0.9142,0.8339,0.8599,0.8161,0.8183,0.8635,0.8939,0.8845,0.8751,0.8827,0.9095,0.8982,0.8645,0.9013
cg04664897,0.0529,0.5562,0.7852,0.7842,0.7885,0.616,0.8421,0.9128,0.8951,0.9125,0.8696,0.9229,0.8999,0.9334,0.8582,0.9288,0.9093,0.8824,0.8228,0.7052,0.8887,0.6959,0.9188,0.8756,0.886
cg11153071,0.6058,0.9745,0.9752,0.9573,0.9735,0.1946,0.9822,0.9733,0.9172,0.9701,0.9354,0.97515,0.9718,0.9754,0.907,0.9736,0.9817,0.9677,0.9745,0.9521,0.9745,0.9679,0.9736,0.9612,0.9614
cg19590591,0.5304,0.182,0.9351,0.8578,0.933,0.9245,0.82,0.9329,0.9256,0.9122,0.8759,0.927325,0.9195,0.8966,0.8884,0.9166,0.8873,0.9203,0.8886,0.9126,0.8357,0.909,0.9077,0.9044,0.903
cg23755933,0.4075,0.1782,0.9568,0.8496,0.9624,0.9258,0.9396,0.9224,0.9096,0.9551,0.922,0.963,0.9407,0.9504,0.8754,0.9546,0.9152,0.9326,0.9229,0.9506,0.8679,0.9484,0.9534,0.9267,0.9228
cg04217515,0.1548,0.912,0.9292,0.864,0.9289,0.2912,0.9492,0.756,0.9195,0.9212,0.8094,0.79475,0.7181,0.9229,0.8458,0.9143,0.8684,0.8896,0.8669,0.8892,0.862,0.9266,0.9295,0.8903,0.8909
cg18835472,0.0893,0.8118,0.8514,0.85,0.8765,0.6105,0.8473,0.8291,0.8479,0.8795,0.8476,0.8547,0.867,0.9044,0.8152,0.8779,0.85,0.8381,0.8313,0.8322,0.8544,0.8636,0.8768,0.8338,0.8627
cg11802666,0.4313,0.9226,0.9246,0.8947,0.9343,0.7581,0.8766,0.9665,0.8936,0.9388,0.916,0.948625,0.9353,0.9139,0.8904,0.9373,0.9409,0.9128,0.9531,0.4791,0.9559,0.8949,0.9582,0.935,0.9518
cg25596405,0.1128,0.6641,0.8607,0.7671,0.906,0.3872,0.6906,0.8359,0.8721,0.9149,0.8774,0.8983,0.9142,0.8902,0.788,0.9329,0.8498,0.913,0.8897,0.9062,0.9221,0.9237,0.9245,0.8805,0.8905
cg07023317,0.0652,0.6608,0.8612,0.7963,0.8514,0.2879,0.6371,0.7766,0.781,0.8403,0.7837,0.8389,0.8461,0.7893,0.6884,0.8277,0.7595,0.8724,0.8283,0.8652,0.8589,0.8799,0.8803,0.8182,0.867
cg09322573,0.0445,0.7793,0.8687,0.7765,0.8752,0.496,0.7283,0.8738,0.8795,0.9039,0.854,0.85445,0.8623,0.8965,0.8388,0.9024,0.8151,0.8784,0.8894,0.8969,0.8841,0.9106,0.9086,0.8834,0.9016
cg02244028,0.1371,0.8877,0.8815,0.8703,0.8942,0.8377,0.9193,0.7577,0.8476,0.7684,0.7779,0.878075,0.9071,0.883,0.8242,0.8745,0.8566,0.8018,0.8399,0.7649,0.8825,0.8644,0.8586,0.8482,0.8739
cg27340480,0.1804,0.9008,0.9004,0.8851,0.8971,0.0354,0.9122,0.8934,0.8437,0.8175,0.8238,0.90045,0.9013,0.9322,0.8227,0.9175,0.9223,0.9113,0.9127,0.9056,0.9127,0.917,0.9257,0.8704,0.9181
cg24250902,0.6071,0.6938,0.8708,0.925,0.8885,0.7656,0.8428,0.9598,0.9714,0.9691,0.949,0.97345,0.9529,0.9705,0.9284,0.9725,0.9603,0.9743,0.9688,0.97,0.9711,0.9715,0.9717,0.9673,0.9682
cg23334433,0.1492,0.8872,0.877,0.8755,0.8757,0.0555,0.9121,0.8785,0.8919,0.8342,0.7984,0.912275,0.9148,0.9221,0.8345,0.8813,0.9214,0.9013,0.891,0.8876,0.8871,0.914,0.9231,0.8516,0.9049
cg16732654,0.1264,0.8133,0.7896,0.7752,0.7863,0.0603,0.8414,0.7618,0.814,0.796,0.7463,0.861975,0.8334,0.8717,0.741,0.799,0.863,0.8236,0.8525,0.841,0.8631,0.8634,0.8571,0.8266,0.8473
cg13618516,0.3619,0.9029,0.8968,0.8934,0.9064,0.0948,0.9552,0.8791,0.9046,0.8557,0.8266,0.906325,0.9004,0.9272,0.8139,0.9099,0.9306,0.9138,0.9102,0.9064,0.9114,0.9178,0.926,0.868,0.9175
cg26298914,0.1788,0.9131,0.9093,0.9008,0.9195,0.0877,0.9379,0.854,0.8666,0.8833,0.865,0.81915,0.9022,0.9023,0.8262,0.916,0.8874,0.9018,0.8911,0.8923,0.8655,0.9114,0.9141,0.8727,0.9094
cg00009088,0.0902,0.8381,0.8817,0.9008,0.9092,0.0577,0.9006,0.8685,0.8831,0.8975,0.8478,0.923775,0.8985,0.9118,0.8436,0.9311,0.873,0.8822,0.8514,0.566,0.8598,0.9128,0.9081,0.8976,0.9191
cg04836151,0.7427,0.973,0.9774,0.9744,0.9778,0.4862,0.9862,0.985,0.9842,0.9553,0.9479,0.97925,0.9707,0.9845,0.9408,0.9815,0.988,0.978,0.9831,0.9516,0.9862,0.9844,0.9861,0.9754,0.978
cg26889953,0.1199,0.9287,0.9084,0.6664,0.9343,0.1273,0.9458,0.8562,0.7236,0.95,0.8314,0.96805,0.9355,0.9436,0.7858,0.9721,0.857,0.8337,0.8567,0.8152,0.8963,0.9039,0.9184,0.8411,0.8786
cg08428868,0.0537,0.6147,0.8149,0.857,0.8116,0.7241,0.7922,0.8354,0.779,0.8095,0.8186,0.864275,0.8657,0.8257,0.8237,0.8818,0.8614,0.8724,0.8593,0.8822,0.8735,0.8936,0.8933,0.8473,0.8953
cg17117981,0.0763,0.8238,0.8803,0.888,0.9157,0.4294,0.8986,0.6795,0.9108,0.9166,0.8475,0.929925,0.9251,0.9398,0.6549,0.9342,0.8167,0.8496,0.8025,0.8144,0.7903,0.8986,0.868,0.8475,0.8293
cg13980609,0.0993,0.8601,0.8912,0.874,0.9063,0.1004,0.8838,0.8806,0.7885,0.8549,0.7918,0.907925,0.8686,0.8694,0.773,0.8583,0.88,0.8696,0.8833,0.8895,0.9057,0.9232,0.9316,0.87,0.9115
cg15288326,0.2844,0.8383,0.8963,0.8914,0.9158,0.4223,0.8552,0.8821,0.7837,0.8953,0.893,0.8995,0.8946,0.9219,0.8808,0.9097,0.9012,0.8831,0.919,0.913,0.9096,0.9186,0.9182,0.8794,0.9352
cg17086773,0.1641,0.7676,0.9056,0.8857,0.9139,0.3407,0.858,0.8969,0.85,0.6983,0.8492,0.877025,0.8859,0.871,0.8434,0.9105,0.9052,0.873,0.8834,0.915,0.896,0.903,0.9245,0.8909,0.8998
cg14189391,0.328,0.9633,0.9209,0.8974,0.9346,0.1897,0.8676,0.8099,0.7645,0.9468,0.9319,0.949875,0.9529,0.9477,0.8712,0.9581,0.8509,0.9505,0.8677,0.9285,0.9346,0.9475,0.9471,0.9507,0.8562
cg10239163,0.2621,0.9037,0.681,0.7435,0.7668,0.1653,0.8958,0.6438,0.5852,0.9097,0.8493,0.883775,0.8812,0.9126,0.7154,0.9155,0.6881,0.8936,0.7432,0.8564,0.8747,0.9072,0.8875,0.8447,0.7347
cg08400494,0.2322,0.8425,0.9179,0.9159,0.9322,0.1084,0.9458,0.872,0.8671,0.9148,0.8295,0.904475,0.9189,0.9209,0.7919,0.9273,0.9097,0.8973,0.8948,0.8961,0.9167,0.917,0.9131,0.8744,0.9028
cg04586126,0.2228,0.8208,0.95,0.7856,0.9611,0.087,0.8627,0.8683,0.8721,0.9586,0.8099,0.953575,0.966,0.9539,0.7434,0.9688,0.9607,0.9439,0.6418,0.8947,0.9587,0.9547,0.9589,0.9019,0.9097
cg22875823,0.4553,0.6317,0.9421,0.8511,0.9535,0.3868,0.833,0.9684,0.8223,0.9619,0.937,0.9709,0.9727,0.973,0.8614,0.9693,0.9504,0.9781,0.9683,0.9721,0.9725,0.9725,0.9773,0.9539,0.8802
cg07417146,0.2798,0.5703,0.9367,0.7642,0.9432,0.1823,0.5938,0.9563,0.821,0.9543,0.9401,0.974,0.9686,0.9773,0.8326,0.9828,0.9157,0.9636,0.9577,0.964,0.9686,0.9713,0.9684,0.939,0.841
cg20118717,0.1138,0.3323,0.7698,0.4414,0.6777,0.0938,0.2357,0.7596,0.5538,0.8811,0.7743,0.764075,0.7956,0.8248,0.6672,0.8681,0.6621,0.766,0.7687,0.7719,0.789,0.783,0.8019,0.735,0.6267
cg22875823,0.4553,0.6317,0.9421,0.8511,0.9535,0.3868,0.833,0.9684,0.8223,0.9619,0.937,0.9709,0.9727,0.973,0.8614,0.9693,0.9504,0.9781,0.9683,0.9721,0.9725,0.9725,0.9773,0.9539,0.8802
cg07417146,0.2798,0.5703,0.9367,0.7642,0.9432,0.1823,0.5938,0.9563,0.821,0.9543,0.9401,0.974,0.9686,0.9773,0.8326,0.9828,0.9157,0.9636,0.9577,0.964,0.9686,0.9713,0.9684,0.939,0.841
cg20118717,0.1138,0.3323,0.7698,0.4414,0.6777,0.0938,0.2357,0.7596,0.5538,0.8811,0.7743,0.764075,0.7956,0.8248,0.6672,0.8681,0.6621,0.766,0.7687,0.7719,0.789,0.783,0.8019,0.735,0.6267
cg22662844,0.4749,0.9452,0.9489,0.9278,0.9515,0.1692,0.9695,0.919,0.9582,0.9369,0.8639,0.96125,0.9365,0.9434,0.8196,0.9523,0.9637,0.942,0.9538,0.9346,0.9582,0.9546,0.9562,0.9205,0.943
cg00235484,0.1063,0.8458,0.8926,0.8762,0.8962,0.1271,0.7717,0.7648,0.8532,0.9014,0.8585,0.916725,0.926,0.9191,0.7994,0.9248,0.8199,0.8785,0.8619,0.8784,0.8626,0.909,0.8989,0.8634,0.8894
cg22666015,0.0646,0.7697,0.8742,0.8828,0.8927,0.0675,0.7988,0.847,0.8693,0.8567,0.8151,0.8765,0.8998,0.9223,0.79,0.914,0.893,0.8712,0.873,0.8618,0.8868,0.8953,0.8976,0.8218,0.8763
cg01622606,0.106,0.667,0.7978,0.7091,0.7625,0.6133,0.7461,0.8594,0.8358,0.8885,0.8694,0.8898,0.8487,0.9119,0.8622,0.9218,0.8852,0.8907,0.8792,0.8852,0.8581,0.904,0.8986,0.8425,0.8919
cg11699517,0.9547,0.1237,0.9746,0.9745,0.9763,0.9416,0.9874,0.9892,0.9816,0.9838,0.9733,0.985925,0.9857,0.9819,0.9666,0.9819,0.9883,0.9771,0.9844,0.9858,0.9855,0.9823,0.9751,0.9699,0.9841
cg21373806,0.8621,0.2645,0.9245,0.933,0.9376,0.7902,0.9468,0.9531,0.9353,0.9523,0.8742,0.938925,0.9442,0.9506,0.9032,0.9408,0.9468,0.9487,0.9656,0.9598,0.9672,0.9631,0.9319,0.9301,0.9484
cg17633015,0.9584,0.2624,0.9582,0.9516,0.9607,0.9648,0.9913,0.9839,0.97,0.9785,0.9783,0.97555,0.9761,0.9807,0.9763,0.9768,0.9912,0.8846,0.9849,0.9492,0.9731,0.9575,0.9613,0.981,0.9822
cg25315312,0.9574,0.317,0.9574,0.9642,0.968,0.9583,0.9884,0.9746,0.9334,0.9584,0.9491,0.942725,0.9594,0.9572,0.9181,0.9533,0.9768,0.8012,0.9703,0.8474,0.9362,0.8844,0.9294,0.9404,0.9544
cg17768768,0.9573,0.1259,0.9524,0.9617,0.9581,0.9498,0.9753,0.9698,0.9592,0.9353,0.9495,0.960675,0.9451,0.9688,0.9204,0.9454,0.9612,0.9771,0.9745,0.9759,0.9708,0.9749,0.9639,0.9674,0.9727
cg16586807,0.9184,0.3012,0.9297,0.919,0.9193,0.9116,0.9246,0.9202,0.8973,0.88,0.9151,0.90985,0.9099,0.9089,0.8904,0.904,0.9439,0.9359,0.9366,0.9379,0.9265,0.9358,0.9258,0.909,0.938
cg19276014,0.929,0.0694,0.9326,0.9356,0.942,0.9383,0.9748,0.9838,0.9554,0.9513,0.9644,0.968625,0.8993,0.9566,0.9396,0.9613,0.983,0.9669,0.9681,0.9744,0.9041,0.9735,0.9587,0.9626,0.9705
cg18961589,0.8916,0.479,0.8622,0.8794,0.8552,0.8966,0.8943,0.8673,0.8877,0.8699,0.8983,0.86605,0.7138,0.885,0.8894,0.9119,0.8858,0.8825,0.8685,0.8746,0.8373,0.8834,0.8629,0.8491,0.878
cg07652788,0.8909,0.3239,0.8748,0.8844,0.8858,0.8854,0.93,0.908,0.8953,0.8933,0.8892,0.881375,0.8128,0.891,0.8632,0.8826,0.9136,0.9202,0.8945,0.9183,0.8438,0.8952,0.8865,0.8918,0.8923
cg02212339,0.9506,0.0755,0.9356,0.9462,0.9411,0.9424,0.9856,0.9465,0.9495,0.9448,0.9602,0.96185,0.9571,0.9648,0.942,0.97,0.9618,0.971,0.969,0.9596,0.9321,0.9571,0.8382,0.9575,0.9643
cg00464927,0.9428,0.0996,0.9545,0.9512,0.9642,0.9534,0.9893,0.8906,0.9576,0.946,0.9638,0.9443,0.9594,0.9599,0.9396,0.96,0.8714,0.9754,0.9194,0.9502,0.9265,0.9715,0.9614,0.9403,0.9723
cg04838847,0.9639,0.2078,0.9701,0.966,0.9715,0.9661,0.9834,0.9697,0.6226,0.9749,0.9732,0.98075,0.9591,0.9657,0.9556,0.9806,0.9863,0.9853,0.98,0.9657,0.9638,0.9782,0.9058,0.966,0.9739
cg04828493,0.8386,0.0292,0.9414,0.8614,0.9468,0.9535,0.97,0.9494,0.8767,0.97,0.9461,0.93375,0.9593,0.9679,0.9342,0.9663,0.952,0.9538,0.9261,0.9616,0.9456,0.9582,0.9543,0.9434,0.9546
cg26053795,0.9791,0.6737,0.9758,0.9512,0.9774,0.9765,0.989,0.9764,0.9741,0.975,0.975,0.979925,0.9684,0.9782,0.9756,0.9737,0.988,0.9879,0.9854,0.9874,0.9858,0.9865,0.9848,0.9826,0.9872
cg21248060,0.9374,0.1001,0.9331,0.916,0.9391,0.9271,0.9687,0.9595,0.8707,0.96,0.941,0.93425,0.9514,0.9542,0.9098,0.9517,0.9642,0.9569,0.9639,0.949,0.9482,0.9538,0.946,0.9187,0.9577
cg09201499,0.9223,0.2491,0.9521,0.9404,0.9544,0.9138,0.9622,0.9348,0.9579,0.9655,0.9439,0.961625,0.9361,0.9604,0.9392,0.9663,0.9776,0.9823,0.9736,0.974,0.8728,0.9749,0.9068,0.9738,0.9741
cg15533809,0.9818,0.7903,0.9791,0.9792,0.983,0.9724,0.9933,0.9871,0.9853,0.9863,0.9854,0.9877,0.987,0.989,0.9855,0.9891,0.992,0.9896,0.9858,0.9876,0.987,0.9852,0.9866,0.9851,0.9852
cg14622549,0.9032,0.4824,0.9634,0.9121,0.9654,0.9584,0.9816,0.9761,0.8546,0.9735,0.9639,0.975675,0.9725,0.9745,0.9559,0.973,0.9727,0.9682,0.9723,0.9714,0.9732,0.9738,0.9745,0.9757,0.9738
cg01591579,0.955,0.1989,0.9483,0.9558,0.9553,0.9488,0.9685,0.901,0.9525,0.8497,0.9501,0.8812,0.8996,0.9376,0.923,0.954,0.9352,0.9523,0.9516,0.9647,0.9557,0.9497,0.9478,0.9496,0.9564
cg19849557,0.6391,0.2684,0.964,0.9568,0.9608,0.9518,0.9654,0.9537,0.9355,0.9652,0.9539,0.96255,0.9529,0.9687,0.9291,0.9634,0.948,0.9644,0.9493,0.96,0.9633,0.9581,0.9611,0.9531,0.9633
cg05143092,0.872,0.554,0.9152,0.9148,0.9192,0.9205,0.9398,0.9016,0.8856,0.9278,0.9178,0.8926,0.9048,0.9264,0.8808,0.9303,0.9216,0.9107,0.9232,0.9169,0.917,0.9095,0.9162,0.8841,0.9211
cg19631815,0.9695,0.5092,0.9717,0.9755,0.9792,0.9683,0.9861,0.9803,0.6005,0.9751,0.9731,0.97475,0.9784,0.9809,0.964,0.9651,0.9863,0.9707,0.9867,0.9665,0.9843,0.9843,0.9841,0.9829,0.9831
cg17955329,0.8399,0.423,0.8814,0.8852,0.9058,0.8232,0.8813,0.8471,0.5138,0.8936,0.8776,0.865625,0.8564,0.8963,0.8439,0.8828,0.8933,0.8576,0.8947,0.8091,0.8954,0.9012,0.8979,0.867,0.8938
cg06800849,0.9652,0.6428,0.9633,0.9637,0.9765,0.9794,0.992,0.9856,0.9851,0.9874,0.9845,0.98565,0.9876,0.9887,0.9716,0.9873,0.9837,0.9604,0.9589,0.9524,0.9697,0.9585,0.9515,0.907,0.9759
cg20908276,0.9713,0.5804,0.9709,0.9696,0.9709,0.9701,0.9862,0.9794,0.9851,0.9362,0.9746,0.94105,0.9243,0.9788,0.9785,0.9774,0.9822,0.95,0.9761,0.9742,0.9716,0.9733,0.9237,0.9621,0.9754
cg18050634,0.8258,0.0745,0.8457,0.9056,0.9205,0.7057,0.9099,0.9764,0.8412,0.9571,0.9404,0.96395,0.9645,0.9576,0.9174,0.9639,0.9738,0.9535,0.971,0.9714,0.9393,0.9709,0.9536,0.9495,0.9534
cg13738327,0.9614,0.1015,0.9316,0.9376,0.93,0.9608,0.9858,0.6811,0.7825,0.8801,0.9745,0.9769,0.9602,0.9755,0.9395,0.981,0.7913,0.9767,0.8731,0.9354,0.9146,0.9609,0.9656,0.9182,0.9672
cg17633015,0.9584,0.2624,0.9582,0.9516,0.9607,0.9648,0.9913,0.9839,0.97,0.9785,0.9783,0.97555,0.9761,0.9807,0.9763,0.9768,0.9912,0.8846,0.9849,0.9492,0.9731,0.9575,0.9613,0.981,0.9822
cg25315312,0.9574,0.317,0.9574,0.9642,0.968,0.9583,0.9884,0.9746,0.9334,0.9584,0.9491,0.942725,0.9594,0.9572,0.9181,0.9533,0.9768,0.8012,0.9703,0.8474,0.9362,0.8844,0.9294,0.9404,0.9544
cg03969079,0.9487,0.4533,0.9487,0.9515,0.952,0.9533,0.9545,0.9699,0.9633,0.9519,0.9514,0.95795,0.9482,0.9408,0.9454,0.9568,0.9589,0.9535,0.9484,0.9533,0.9531,0.9521,0.9456,0.9113,0.9569
cg00827581,0.9547,0.5528,0.9714,0.9666,0.9726,0.9469,0.9728,0.9636,0.8362,0.9746,0.9652,0.924075,0.9575,0.9567,0.9352,0.9636,0.9738,0.9796,0.9791,0.983,0.9781,0.9757,0.9626,0.97,0.9694
cg02092514,0.9387,0.3002,0.8225,0.9326,0.7954,0.9193,0.955,0.9609,0.945,0.9406,0.934,0.9459,0.9383,0.9454,0.9204,0.9461,0.963,0.9611,0.9661,0.9724,0.9622,0.9639,0.895,0.9572,0.9622
cg25131632,0.9473,0.0492,0.9073,0.9303,0.9079,0.9449,0.9627,0.8783,0.9077,0.9567,0.9431,0.9435,0.8625,0.9575,0.9078,0.9543,0.9266,0.9444,0.9216,0.9337,0.8009,0.9597,0.6067,0.9354,0.9262
cg11699517,0.9547,0.1237,0.9746,0.9745,0.9763,0.9416,0.9874,0.9892,0.9816,0.9838,0.9733,0.985925,0.9857,0.9819,0.9666,0.9819,0.9883,0.9771,0.9844,0.9858,0.9855,0.9823,0.9751,0.9699,0.9841
cg21373806,0.8621,0.2645,0.9245,0.933,0.9376,0.7902,0.9468,0.9531,0.9353,0.9523,0.8742,0.938925,0.9442,0.9506,0.9032,0.9408,0.9468,0.9487,0.9656,0.9598,0.9672,0.9631,0.9319,0.9301,0.9484
cg00900735,0.96,0.5772,0.9557,0.9638,0.9664,0.9636,0.9654,0.9335,0.9597,0.9637,0.9605,0.958325,0.9531,0.953,0.921,0.9693,0.9672,0.9669,0.9463,0.9725,0.9592,0.9694,0.9641,0.9204,0.7763
cg03717570,0.9677,0.659,0.9663,0.9684,0.9702,0.9663,0.9815,0.9724,0.9774,0.9753,0.9749,0.9739,0.9731,0.9632,0.9648,0.9752,0.9777,0.9686,0.9718,0.9751,0.9748,0.9746,0.9744,0.9542,0.8755
cg01884715,0.8725,0.583,0.8498,0.8746,0.8819,0.8486,0.9269,0.5628,0.6248,0.8674,0.7485,0.630625,0.7971,0.7524,0.6408,0.82,0.7175,0.7654,0.7055,0.755,0.6597,0.71,0.8166,0.6718,0.4974
cg06943385,0.9118,0.6305,0.9068,0.9004,0.9216,0.8956,0.9553,0.8828,0.9108,0.9056,0.9072,0.895475,0.9034,0.9207,0.8942,0.9298,0.9428,0.912,0.9242,0.9283,0.915,0.9199,0.9195,0.8852,0.8367
cg01199327,0.9434,0.3796,0.9513,0.9406,0.9537,0.9345,0.9742,0.9378,0.9648,0.9501,0.9406,0.9135,0.9302,0.9359,0.8968,0.9605,0.9659,0.9597,0.961,0.9466,0.9407,0.9414,0.8278,0.9231,0.9512
cg22697239,0.9373,0.292,0.9399,0.9345,0.9572,0.9129,0.978,0.883,0.9449,0.9134,0.9026,0.85985,0.9311,0.85,0.8414,0.9675,0.9418,0.9483,0.9707,0.9469,0.9135,0.9217,0.6879,0.9447,0.9395
cg04696391,0.9759,0.7672,0.9694,0.9741,0.9743,0.9775,0.9885,0.9805,0.8761,0.9812,0.9789,0.9841,0.9786,0.9758,0.9726,0.9781,0.9879,0.9866,0.9883,0.9854,0.9873,0.9837,0.9838,0.9871,0.9843
cg10854528,0.9292,0.2551,0.9229,0.9231,0.9311,0.9248,0.9332,0.9223,0.8227,0.9129,0.9266,0.909025,0.9228,0.9201,0.9158,0.9356,0.9354,0.9425,0.9398,0.9388,0.927,0.9384,0.9264,0.9054,0.9358
cg24299136,0.9709,0.7395,0.9657,0.9786,0.9786,0.9761,0.9772,0.9719,0.9803,0.968,0.9767,0.9725,0.9752,0.9794,0.9634,0.9429,0.9816,0.9651,0.9745,0.9762,0.9766,0.9787,0.9741,0.9606,0.9775
cg09437994,0.9329,0.4407,0.9522,0.9205,0.964,0.9448,0.9673,0.946,0.9669,0.8563,0.8962,0.924925,0.8543,0.9263,0.9033,0.9496,0.9636,0.9663,0.9365,0.9706,0.9754,0.9694,0.9632,0.9414,0.9586
cg09848445,0.9741,0.7891,0.976,0.96,0.978,0.9761,0.9889,0.9848,0.987,0.979,0.9803,0.979875,0.9169,0.9822,0.9608,0.9795,0.9894,0.9815,0.9784,0.9802,0.9865,0.9847,0.9837,0.9787,0.9844
cg23683962,0.9132,0.0965,0.9044,0.9023,0.9034,0.9061,0.9234,0.864,0.8598,0.8801,0.8794,0.8931,0.8813,0.8662,0.8775,0.8928,0.9227,0.9247,0.9077,0.9256,0.915,0.9192,0.9194,0.9073,0.9257
cg20043258,0.9445,0.4727,0.9213,0.909,0.9346,0.9473,0.9447,0.9749,0.8164,0.9571,0.9421,0.96245,0.9475,0.9567,0.9401,0.9422,0.9602,0.9691,0.9576,0.9436,0.9362,0.9549,0.964,0.9125,0.9548
cg01453814,0.9457,0.2738,0.9446,0.6101,0.9123,0.9556,0.8477,0.9512,0.939,0.9086,0.9329,0.950375,0.9174,0.91,0.9198,0.9224,0.924,0.9342,0.9505,0.9395,0.9454,0.9471,0.9346,0.95,0.9509
cg00041047,0.9201,0.1748,0.9189,0.3739,0.8591,0.932,0.9132,0.9512,0.893,0.8727,0.8765,0.94085,0.8909,0.8599,0.838,0.898,0.9258,0.9415,0.9372,0.9232,0.9339,0.9396,0.9352,0.9446,0.9284
cg06237487,0.8514,0.321,0.8382,0.352,0.7361,0.87,0.8036,0.9028,0.8522,0.8313,0.8335,0.8609,0.8328,0.8311,0.8172,0.7974,0.877,0.8705,0.8894,0.9051,0.8883,0.9043,0.8988,0.881,0.9185
cg24188017,0.8533,0.2075,0.819,0.2208,0.702,0.8807,0.8168,0.8923,0.8717,0.8626,0.8574,0.897275,0.8815,0.8584,0.8402,0.8189,0.8861,0.8743,0.8949,0.8922,0.8983,0.9052,0.9093,0.8824,0.9121
cg19590591,0.5304,0.182,0.9351,0.8578,0.933,0.9245,0.82,0.9329,0.9256,0.9122,0.8759,0.927325,0.9195,0.8966,0.8884,0.9166,0.8873,0.9203,0.8886,0.9126,0.8357,0.909,0.9077,0.9044,0.903
cg23755933,0.4075,0.1782,0.9568,0.8496,0.9624,0.9258,0.9396,0.9224,0.9096,0.9551,0.922,0.963,0.9407,0.9504,0.8754,0.9546,0.9152,0.9326,0.9229,0.9506,0.8679,0.9484,0.9534,0.9267,0.9228
cg00762029,0.9342,0.1434,0.933,0.9288,0.9347,0.9347,0.9238,0.9211,0.8184,0.9194,0.9043,0.9049,0.9068,0.9294,0.9111,0.8904,0.927,0.8392,0.924,0.9164,0.7988,0.9175,0.8644,0.8659,0.9168
cg00181849,0.9672,0.7347,0.964,0.965,0.9684,0.9613,0.9854,0.9742,0.9569,0.9632,0.9631,0.966725,0.9665,0.9641,0.9531,0.9629,0.9686,0.9827,0.9798,0.9847,0.9817,0.9767,0.9728,0.9757,0.9622
cg27205928,0.9318,0.52,0.9333,0.9455,0.9517,0.9455,0.9782,0.9832,0.7026,0.9566,0.9542,0.95815,0.9518,0.9609,0.9234,0.9497,0.9775,0.9676,0.9601,0.9612,0.9668,0.962,0.9534,0.9274,0.9701
cg16492851,0.8335,0.3327,0.7631,0.8068,0.7974,0.7926,0.8702,0.8336,0.5733,0.86,0.8187,0.772725,0.8102,0.8248,0.7673,0.8339,0.8848,0.8657,0.8498,0.8368,0.8498,0.8406,0.839,0.7723,0.8483
cg17768768,0.9573,0.1259,0.9524,0.9617,0.9581,0.9498,0.9753,0.9698,0.9592,0.9353,0.9495,0.960675,0.9451,0.9688,0.9204,0.9454,0.9612,0.9771,0.9745,0.9759,0.9708,0.9749,0.9639,0.9674,0.9727
cg16586807,0.9184,0.3012,0.9297,0.919,0.9193,0.9116,0.9246,0.9202,0.8973,0.88,0.9151,0.90985,0.9099,0.9089,0.8904,0.904,0.9439,0.9359,0.9366,0.9379,0.9265,0.9358,0.9258,0.909,0.938
cg06567596,0.9338,0.4813,0.8913,0.9348,0.7128,0.9333,0.9738,0.9698,0.9342,0.9649,0.9491,0.941625,0.9493,0.9483,0.9291,0.9712,0.9578,0.944,0.9603,0.9602,0.9691,0.9623,0.9549,0.9349,0.9594
cg13659700,0.8014,0.5065,0.8108,0.8627,0.6426,0.8307,0.8872,0.8706,0.8321,0.8921,0.8887,0.842325,0.8869,0.8801,0.8554,0.893,0.893,0.8846,0.9004,0.8775,0.8929,0.8857,0.8906,0.8496,0.8921
cg00900735,0.96,0.5772,0.9557,0.9638,0.9664,0.9636,0.9654,0.9335,0.9597,0.9637,0.9605,0.958325,0.9531,0.953,0.921,0.9693,0.9672,0.9669,0.9463,0.9725,0.9592,0.9694,0.9641,0.9204,0.7763
